metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key
crop_abaca_category_permanent_summary_strategy_3,ABACA,ABACA,0.28559114,permanent,abaca,industrial_cash,,,abaca,,industrial_cash,7350,37.0,37.0,37.0,37.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,abaca
crop_achiote_category_permanent_summary_strategy_3,ACHIOTE,ACHIOTE,0.79190578,permanent,achiote,vegetables,,,achiote,,vegetables,2143,6.0,6.0,6.0,6.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,achiote
crop_aguacate_fruta_fresca_category_permanent_summary_strategy_3,AGUACATE,AGUACATE,0.20022057,permanent,aguacate,fruits,,,aguacate,,fruits,5571,217.0,217.0,217.0,217.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aguacate
crop_aji_category_transitory_summary_strategy_3,AJI,AJI,0.37994556,transitory,aji,vegetables,16.0,6806.81818181818,aji,16.0,vegetables,2143,13.0,13.0,16.0,16.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aji
crop_ajonjoli_category_transitory_summary_strategy_3,AJONJOLI,AJONJOLI,2.3876725,transitory,ajonjoli,pulses_oilseeds,3.0,545.454545454546,ajonjoli,3.0,pulses_oilseeds,2888,3.0,3.0,3.0,3.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ajonjoli
crop_alcachofa_category_permanent_summary_strategy_3,ALCACHOFA,ALCACHOFA,0.15107911,permanent,alcachofa,vegetables,,,alcachofa,,vegetables,2143,1.0,1.0,1.0,1.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alcachofa
crop_alfalfa_category_transitory_summary_strategy_3,ALFALFA,ALFALFA,0.34190211,transitory,alfalfa,forages_pastures,17.0,10101.0101010101,alfalfa,17.0,forages_pastures,14458,9.0,9.0,17.0,17.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alfalfa
crop_apio_category_transitory_summary_strategy_3,APIO,APIO,0.061390845,transitory,apio,vegetables,39.0,6060.606060606055,apio,39.0,vegetables,2143,20.0,20.0,39.0,39.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,apio
crop_arroz_en_cascara_category_transitory_summary_strategy_3,ARROZ,ARROZ,0.66348185,transitory,arroz,cereals,1.0,2727.27272727273,arroz,1.0,cereals,8601,2346.0,2346.0,1.0,1.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arroz
crop_arveja_seca_grano_seco_category_transitory_summary_strategy_3,ARVEJA SECA,ARVEJA SECA,6.388626,transitory,arveja seca,pulses_oilseeds,,,arveja seca,,pulses_oilseeds,2888,73.0,73.0,73.0,73.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja seca
crop_arveja_tierna_vaina_category_transitory_summary_strategy_3,ARVEJA TIERNA,ARVEJA TIERNA,1.9071281,transitory,arveja tierna,pulses_oilseeds,,,arveja tierna,,pulses_oilseeds,2888,304.0,304.0,304.0,304.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja tierna
crop_avena_category_transitory_summary_strategy_3,AVENA,AVENA,1.0554352,transitory,avena,cereals,19.0,1239.6694214875995,avena,19.0,cereals,8601,27.0,27.0,19.0,19.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena
crop_avena_forrajera_category_transitory_summary_strategy_3,AVENA FORRAJERA,AVENA FORRAJERA,1.482158,transitory,avena forrajera,forages_pastures,8.0,1790.352504638218,avena forrajera,8.0,forages_pastures,14458,8.0,8.0,8.0,8.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena forrajera
crop_babaco_category_permanent_summary_strategy_3,BABACO,BABACO,0.15775023,permanent,babaco,fruits,,,babaco,,fruits,5571,10.0,10.0,10.0,10.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,babaco
crop_bambu_o_cana_guadua_category_permanent_summary_strategy_3,BAMBU O CANA GUADUA,BAMBU O CANA GUADUA,0.10211459,permanent,bambu o cana guadua,industrial_cash,,,bambu o cana guadua,,industrial_cash,7350,28.0,28.0,28.0,28.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,bambu o cana guadua
crop_banano_fruta_fresca_category_permanent_summary_strategy_3,BANANO,BANANO,0.078536553,permanent,banano,fruits,,,banano,,fruits,5571,707.0,707.0,707.0,707.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,banano
crop_brachiaria_category_cultivated_pasture_summary_strategy_3,BRACHIARIA,BRACHIARIA,0.1021091,cultivated_pasture,brachiaria,forages_pastures,,,brachiaria,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_brocoli_category_transitory_summary_strategy_3,BROCOLI,BROCOLI,0.15962307,transitory,brocoli,vegetables,,,brocoli,,vegetables,2143,283.0,283.0,283.0,283.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,brocoli
crop_cacao_almendra_seca_category_permanent_summary_strategy_3,CACAO,CACAO,7.1042109,permanent,cacao,industrial_cash,,,cacao,,industrial_cash,7350,5628.0,5628.0,5628.0,5628.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao
crop_cacao_ccn51_o_ramilla_almendra_fresca_category_transitory_summary_strategy_3,CACAO CCN51 O RAMILLA,CACAO CCN51 O RAMILLA,1.7368229,transitory,cacao ccn51 o ramilla,industrial_cash,,,cacao ccn51 o ramilla,1.0,industrial_cash,7350,1.0,1.0,1.0,1.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao ccn51 o ramilla
crop_cafe_grano_oro_category_permanent_summary_strategy_3,CAFE,CAFE,17.577283,permanent,cafe,industrial_cash,,,cafe,,industrial_cash,7350,522.0,522.0,522.0,522.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cafe
crop_camote_category_transitory_summary_strategy_3,CAMOTE,CAMOTE,0.86320837,transitory,camote,roots_tubers,13.0,2840.909090909085,camote,13.0,roots_tubers,1259,12.0,12.0,13.0,13.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,camote
